Año,Fecha,Torneo,Instancia,Rival,GF,GC,Resultado,Lugar
2023,21/05/2023,Apertura,FECHA 7,REDUCTO,5,0,V,CENTENARIO
2023,14/05/2023,Apertura,FECHA 6,LOS REYES,3,0,V,CENTENARIO
2023,7/05/2023,Apertura,FECHA 5,MALA FAMA,2,0,V,CENTENARIO
2023,23/04/2023,Apertura,FECHA 4,EL REJUNTE,3,0,V,CENTENARIO
2023,16/04/2023,Apertura,FECHA 3,RINOCERONTES,4,1,V,CENTENARIO
2023,2/04/2023,Apertura,FECHA 2,LOS PIBES,1,1,E,CENTENARIO
2023,12/02/2023,Copa de Verano,FECHA 2,ROCOLA,0,5,D,CENTENARIO
2023,12/02/2023,Copa de Verano,FECHA 3,TA FEA,0,5,D,CENTENARIO
2023,5/02/2023,Copa de Verano,FECHA 1,LA JOYA,7,1,V,CENTENARIO
2022,2/10/2022,Clausura,FECHA 9,ROMARIO,1,1,E,POLI
2022,18/09/2022,Clausura,FECHA 8,INSTITUTO JP,1,0,V,POLI
2022,11/09/2022,Clausura,FECHA 7,CITY TORPE,4,6,D,POLI
2022,4/09/2022,Clausura,FECHA 6,TREINTA Y TRES,2,1,V,POLI
2022,28/08/2022,Clausura,FECHA 5,INTER MVD,3,2,V,POLI
2022,21/08/2022,Clausura,FECHA 4,GARRA,0,2,D,POLI
2022,14/08/2022,Clausura,FECHA 3,PARENAESE,1,1,E,POLI
2022,7/08/2022,Clausura,FECHA 2,BEA SUELTA,3,5,D,POLI
2022,24/07/2022,Clausura,FECHA 1,EL FARO,0,2,D,POLI
2022,12/06/2022,Apertura,FECHA 9,LA COSTA,0,3,D,POLI
2022,5/06/2022,Apertura,FECHA 8,CITY TORPE,2,1,V,POLI
2022,29/05/2022,Apertura,FECHA 7,DE RABONA,0,7,D,POLI
2022,22/05/2022,Apertura,FECHA 6,RETIRO,1,8,D,POLI
2022,15/05/2022,Apertura,FECHA 5,TANKENCH,3,1,V,POLI
2022,8/05/2022,Apertura,FECHA 4,DEPORTIVO ROMARIO,6,3,V,POLI
2022,17/04/2022,Apertura,FECHA 3,DEL VAMOS,1,3,D,POLI
2022,10/04/2022,Apertura,FECHA 2,FUNEBREROS,1,2,D,POLI
2022,3/04/2022,Apertura,FECHA 1,PEPPERS,1,8,D,POLI
