Sección,Jugador,PJ,PG,PE,PP,Goles,Asistencias,Amarillas,Rojas,MVP
2023,Menchaca,25,13,7,2,6,3,0,0,0
2023,Pedemonte,23,14,6,3,15,7,8,2,0
2023,Bruno Silva,18,10,4,4,0,1,8,3,0
2023,Gaston Silva,3,1,0,2,0,0,0,0,0
2023,Diego Rocca,4,3,0,1,0,0,0,0,0
2023,Sparkov,24,12,8,4,22,5,2,1,0
2023,Colombo,6,5,0,1,0,0,0,0,0
2023,Molina,4,3,0,1,0,0,0,0,0
,,,,,,,,,,
--- ESTADÍSTICAS 2022 ---,,,,,,,,,,
TORNEO: General,,,,,,,,,,
2022,Alvez,7,2,0,5,0,0,0,0,0
2022,Anzuatte,18,3,2,13,0,0,5,0,0
2022,Balestie,6,2,0,4,2,0,0,2,0
2022,Blanco,7,2,1,4,0,0,0,0,0
2022,Bonilla,6,2,1,3,0,0,0,0,0
2022,Cravino,8,2,0,6,3,1,0,0,0
2022,Da Silveira,5,2,1,3,0,1,2,0,0
2022,Dobal,5,1,0,4,0,0,0,0,0
2022,Fernandez,16,6,2,8,2,0,3,0,0
2022,Iza,18,5,1,12,7,2,0,0,1
2022,Martinez,20,5,1,14,1,0,1,0,0
2022,Mateo,21,6,2,13,0,0,0,0,0
2022,Menchaca,13,4,1,8,4,1,0,0,0
2022,Molina,6,1,1,4,1,0,0,0,0
2022,Olarte,13,4,0,9,1,0,0,0,0
2022,Pedemonte,7,2,1,4,2,0,2,0,0
2022,Sparkov,15,4,2,9,14,0,1,0,0
2022,Valle,9,2,1,6,0,0,0,0,0
2022,Vigil,5,2,0,3,0,0,0,0,1
2022,Luzardo,6,0,1,5,1,0,0,0,0
2022,Bruno Silva,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
--- ESTADÍSTICAS 2021 ---,,,,,,,,,,
TORNEO: General,,,,,,,,,,
2021,Alvez,10,7,1,2,1,1,1,0,2
2021,Anzuatte,24,17,4,3,10,4,6,0,0
2021,Blanco,25,17,2,6,3,0,0,0,2
2021,Bonilla,13,7,3,3,0,0,0,0,0
2021,Cravino,9,6,2,1,5,6,0,0,2
2021,Da Silveira,15,8,3,4,0,2,1,0,0
2021,Dobal,22,12,3,7,3,7,0,0,3
2021,Iza,23,14,3,6,6,0,1,0,3
2021,Lorenzo,9,2,1,6,0,0,1,0,0
2021,Luzardo,16,10,3,3,2,1,1,1,1
2021,Martinez,24,14,3,7,0,0,0,0,2
2021,Mateo,27,16,4,7,3,3,1,1,0
2021,Menchaca,22,14,3,5,12,3,0,0,3
2021,Molina,4,3,0,1,0,0,0,0,0
2021,Olarte,15,11,2,2,0,0,2,0,1
2021,Pedemonte,26,16,4,6,13,10,2,0,3
2021,Sparkov,26,16,4,6,38,11,1,0,5
,,,,,,,,,,
